idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
3357,-5.826485633850098,-5.737401008605957,-5.9176106452941895,-6.365228176116943,-4.071863174438477,-4.045335292816162,-4.3364105224609375,-4.452452659606934
3358,-6.333871364593506,-5.6472320556640625,-7.010472297668457,-6.170411586761475,-4.045335292816162,-4.071863174438477,-4.452452659606934,-4.3364105224609375
3359,-5.826485633850098,-5.737401008605957,-5.995537757873535,-6.212955474853516,-4.071863174438477,-4.045335292816162,-4.2764177322387695,-4.63140344619751
3360,-6.333871364593506,-5.6472320556640625,-6.789603233337402,-6.213022232055664,-4.045335292816162,-4.071863174438477,-4.63140344619751,-4.2764177322387695
3361,-3.793851852416992,-3.9134421348571777,-3.4598302841186523,-3.697478771209717,-2.9296844005584717,-3.1533093452453613,-3.0666861534118652,-3.200258731842041
3362,-5.376992225646973,-4.434154987335205,-4.637226104736328,-3.8710246086120605,-3.1533093452453613,-2.9296844005584717,-3.200258731842041,-3.0666861534118652
3363,-3.793851852416992,-3.9134421348571777,-5.9176106452941895,-6.365228176116943,-2.9296844005584717,-3.1533093452453613,-4.3364105224609375,-4.452452659606934
3364,-5.376992225646973,-4.434154987335205,-7.010472297668457,-6.170411586761475,-3.1533093452453613,-2.9296844005584717,-4.452452659606934,-4.3364105224609375
3365,-3.793851852416992,-3.9134421348571777,-5.995537757873535,-6.212955474853516,-2.9296844005584717,-3.1533093452453613,-4.2764177322387695,-4.63140344619751
3366,-5.376992225646973,-4.434154987335205,-6.789603233337402,-6.213022232055664,-3.1533093452453613,-2.9296844005584717,-4.63140344619751,-4.2764177322387695
3367,-3.564352512359619,-3.4661362171173096,-3.682985305786133,-3.571208953857422,-4.409271240234375,-4.553300857543945,-3.0666861534118652,-3.200258731842041
3368,-3.875483274459839,-3.0462026596069336,-3.705510139465332,-3.0576062202453613,-4.553300857543945,-4.409271240234375,-3.200258731842041,-3.0666861534118652
3369,-3.564352512359619,-3.4661362171173096,-6.606507301330566,-6.330016136169434,-4.409271240234375,-4.553300857543945,-4.3364105224609375,-4.452452659606934
3370,-3.875483274459839,-3.0462026596069336,-6.2712812423706055,-6.0638275146484375,-4.553300857543945,-4.409271240234375,-4.452452659606934,-4.3364105224609375
3371,-3.564352512359619,-3.4661362171173096,-6.237104415893555,-5.550447940826416,-4.409271240234375,-4.553300857543945,-4.2764177322387695,-4.63140344619751
3372,-3.875483274459839,-3.0462026596069336,-5.41689395904541,-5.667544364929199,-4.553300857543945,-4.409271240234375,-4.63140344619751,-4.2764177322387695
